location,date,population,new_cases,new_deaths,rolling_total_cases,rolling_total_deaths,rolling_total_percentage
Africa,28-08-22,1446883817,0,0,542,11,2.03
Africa,29-08-22,1446883817,2,0,544,11,2.02
Africa,30-08-22,1446883817,0,0,544,11,2.02
Africa,31-08-22,1446883817,0,0,544,11,2.02
Africa,01-09-22,1446883817,0,0,544,11,2.02
Africa,02-09-22,1446883817,44,1,588,12,2.04
Africa,03-09-22,1446883817,0,0,588,12,2.04
Africa,04-09-22,1446883817,0,0,588,12,2.04
Africa,05-09-22,1446883817,0,0,588,12,2.04
Africa,06-09-22,1446883817,2,0,590,12,2.03
Africa,07-09-22,1446883817,0,0,590,12,2.03
Africa,08-09-22,1446883817,0,0,590,12,2.03
Africa,09-09-22,1446883817,39,0,629,12,1.91
Africa,10-09-22,1446883817,0,0,629,12,1.91
Africa,11-09-22,1446883817,0,0,629,12,1.91
Africa,12-09-22,1446883817,0,0,629,12,1.91
Africa,13-09-22,1446883817,0,0,629,12,1.91
Africa,14-09-22,1446883817,0,0,629,12,1.91
Africa,15-09-22,1446883817,2,1,631,13,2.06
Africa,16-09-22,1446883817,70,0,701,13,1.85
Africa,17-09-22,1446883817,0,0,701,13,1.85
Africa,18-09-22,1446883817,0,0,701,13,1.85
Africa,19-09-22,1446883817,0,0,701,13,1.85
Africa,20-09-22,1446883817,0,0,701,13,1.85
Africa,21-09-22,1446883817,1,0,702,13,1.85
Africa,22-09-22,1446883817,0,0,702,13,1.85
Africa,23-09-22,1446883817,73,0,775,13,1.68
Africa,24-09-22,1446883817,0,0,775,13,1.68
Africa,25-09-22,1446883817,0,0,775,13,1.68
Africa,26-09-22,1446883817,0,0,775,13,1.68
Africa,27-09-22,1446883817,1,0,776,13,1.68
Africa,28-09-22,1446883817,0,0,776,13,1.68
Africa,29-09-22,1446883817,0,0,776,13,1.68
Africa,30-09-22,1446883817,31,0,807,13,1.61
Africa,01-10-22,1446883817,10,0,817,13,1.59
Africa,02-10-22,1446883817,0,0,817,13,1.59
Africa,03-10-22,1446883817,0,0,817,13,1.59
Africa,04-10-22,1446883817,0,0,817,13,1.59
Africa,05-10-22,1446883817,0,0,817,13,1.59
Africa,06-10-22,1446883817,0,0,817,13,1.59
Africa,07-10-22,1446883817,76,0,893,13,1.46
Africa,08-10-22,1446883817,0,0,893,13,1.46
Africa,09-10-22,1446883817,0,0,893,13,1.46
Africa,10-10-22,1446883817,0,0,893,13,1.46
Africa,11-10-22,1446883817,0,0,893,13,1.46
Africa,12-10-22,1446883817,0,0,893,13,1.46
Africa,13-10-22,1446883817,0,0,893,13,1.46
Africa,14-10-22,1446883817,35,0,928,13,1.4
Africa,15-10-22,1446883817,0,0,928,13,1.4
Africa,16-10-22,1446883817,0,0,928,13,1.4
Africa,17-10-22,1446883817,0,0,928,13,1.4
Africa,18-10-22,1446883817,0,0,928,13,1.4
Africa,19-10-22,1446883817,1,0,929,13,1.4
Africa,20-10-22,1446883817,0,0,929,13,1.4
Africa,21-10-22,1446883817,46,1,975,14,1.44
